YEAR,MONTH/STATIONS,GITEGA,BUTAMWA,KIGALIAERO,BUSASAMANA NYANZ,NYAMIYAGA,RURANGAZI,CYILIRiceCooper,KIGEMBE,GAKOMA,MUKINDOSECTOR,RUNYOMBI,CYAHINDA,KIBEHO,NYAKIBANDAGRAND,SIMBI,BURUHUKIRO,CYANIKA,GIKONGOROMET,KIGEME,GATARE,KADUHA,MUSHUBI,MUDASOMWATARE,GITWE,BYIMANA,KINAZI,KIGOMARUHANGO,KIVUMU,KIBANGU,NYABINONI,NYAMABUYE,RUGENDABARI,GIHINGAGACUR,KAYENZI,MUGINA,GISHYITA,RUBENGERAMET,RUGABANO,TWUMBA,BONEZA,GIHANGO,MURUNDA,RYABIZIGE,GISENYIAERO,KANAMA,NYUNDO,BIGOGWE,RWANKERINYABIHU,GATUMBA,MURAMBAPAROISSE,KABAYA,NYANGENGOR,SOVU,BUGARAMARIZ,KAMEMBEAERO,NKANKA,NYAKABUYE,NTENDEZI,CYATO,NYAMASHEKE,KANJONGO,KIRIMBI,SHANGI,CYINZUZI,RUTONGO,MUGAMBAZImuramb,RUKOZO,RUSIGA,CYABINGO,JANJA,MINAZI,NEMBA,RULIMUSASA,RUSHASHI,REMERARUHONDO,BUSOGOISAE,RUHENGERIAERO,KINIGI,NYANGEMUSANZE,SHINGIRO,BUTARO,KAGOGO,NTARUKA,RUHUNDE,RWESERO,BYUMBAMET,MULINDIUSINE,KABEZANYAM,GISHARI,RWAMAGANA,NZIGE,NYAKIGANYAGATAR,KAGITUMBA,NYAGATARE,RWEMPASHA,GASANGE,KABARORE,KIZIGURO,NGARAMA,NYAGAHANGAEFA,RWIMBOGO,GAHINI,KABARONDO,MURUNDI,KAYONZA,MWIRI,KAWANGIRE,NDEGO,KIREHE,MPANGA,NYAMUGALIKIREHE,NYARUBUYE,JARAMA,KIBUNGOKAZO,SAKE,ZAZA,NYAMATA,RUHUHA,JURU
2021,January,157.2,129.6,168.9,254.4,136.4,156,66.5,69.7,79.2,82.9,86,93.4,161.1,125.7,105.5,286.7,205.6,138.5,71.4,129.6,152.6,130.8,139.1,133.7,86.1,93.9,131.9,110.8,64.8,168.5,70.2,80.6,116.9,126.7,115.6,162.3,148.6,141.5,196,183.6,169.4,185,95.9,5.2,125.7,174,67.7,130.6,64.6,94,129.5,135.1,103.9,138.9,217,132.1,212.4,191.1,149.3,97.9,116.1,166.2,92.7,119.3,118.6,108.1,36,68.3,87,118.9,97.4,122,141.6,130.9,55.7,144.5,112.2,88.5,46.7,78.2,114.6,67.3,25.3,73.2,169.1,86.8,-99,136.4,110.6,229.6,99.4,115.4,50.7,64,26.7,121.9,142.9,110,85.3,86.9,263.7,83.4,162.4,-99,81.7,101.7,122.8,104.6,152.3,148.2,133.7,139.2,171.7,125.3,185,166,108.7,102.8,175
2021,February,138.9,138.8,87.2,220,145.8,178.4,60.5,166.1,90.9,107.6,112.3,259.4,208.2,246.2,90.1,260.4,71.7,138.5,137.2,163.8,133.2,114.5,155.1,116.2,227.4,46.3,203.8,180.3,140.5,190.2,106.8,104.8,106.9,96.3,68.1,248.1,210.1,160.8,281.9,174.6,221.5,189,113.5,56.5,141.4,149.1,145.3,75.9,90.4,73.6,172.8,101.2,196,75.1,233.9,164.1,137.5,260.9,200.4,245.9,157.1,192.4,256.9,118.1,104.2,40.7,125,125.1,74.2,134.7,133,133.3,62.4,100.2,88.4,111.8,111.8,132.4,30.5,71.2,81,81.1,30.4,114.7,149.8,131.3,118.7,145.8,31,34.2,69,157.9,71.9,75.9,21.3,110.1,116.2,85.5,160.4,197.3,42,35.7,22.1,-99,93.7,107.2,50.4,71.4,31.7,131.4,22.2,104.4,133.3,86.2,171.6,108,72,96.7,154.7
2021,March,173.3,78.4,112.5,114.4,88.3,130.2,95.9,95.9,102.7,153.9,189.9,117.4,281.7,117.7,109.4,145.6,88.7,129.2,131.4,152,80.2,153.6,141.4,87.5,101.3,93.5,93,102.7,122.7,220.5,52.1,100.8,86.3,118.2,120.7,84.5,64.2,137.2,166.9,121.3,80.9,106.3,87.6,52.4,117.4,120.2,63.2,120.2,159.7,111.2,124.4,63,66.3,174.6,214.1,141.4,213.1,164.7,108.8,112.4,115.4,130,171.6,131.5,102.6,95.2,71.8,141.8,158.4,95.6,97.1,118,97.8,54.6,91.4,150.2,99.3,97.8,190.7,171.6,117.3,118.2,106.7,77,89.3,89.2,105,104.7,91.9,111.2,135.1,115.9,127.3,111.3,95.5,41.8,140.4,96.4,123.3,97.8,174.6,123.8,160.4,97.6,109.1,139.7,138.9,53.2,79.7,112.5,94.8,130.5,92.4,170,79.3,164.6,141.4,101.4,122.4
2021,April,130.9,92.1,94.4,122,146.3,148.7,140.7,170.4,165.4,137,184.9,153.7,160.8,146.1,122.9,405.4,182.3,198.3,248,197.9,259.4,250.6,175.5,147,211.5,84.1,97.2,139.3,165.3,301.1,109.2,145.6,131,88.8,69.7,181,184.4,257,297.6,125.7,165.7,140.1,150.3,32.5,118.2,124.6,72.3,186.6,211.5,163.9,200.6,176.8,133.6,156.1,150,172.9,151,227.9,138.1,149.3,99.1,194.4,189,166.4,138.9,42,113.9,159.2,128.6,220,153.1,212.2,110,185.1,106.8,151.9,180.4,239.2,348.4,228,165.3,182,191.7,129.9,114.1,183.1,163,120.5,131.2,171,129.8,114.7,51.5,60.5,47.8,98.5,101.9,96.4,85.9,118.5,126.5,121.9,137.1,140.4,172.3,95.6,149.2,123.4,184,196.6,140.6,154.6,154.7,299.6,138.7,189.8,82.5,115.2,79.7
2021,May,158.2,127.6,124.1,154.1,-99,130.5,38.2,228.6,173.7,124.4,225.9,140.1,161.5,176.5,201.3,338.5,134.2,212.3,246.5,232.7,285.6,228.8,208,115.4,124,110.1,160.4,235.2,245.1,309.5,167.7,182.8,161.1,202.6,169.2,152.3,155.3,227,-99,204.7,-99,156.9,79.9,71.7,115.6,97.4,-99,119.6,245.5,141.1,169.3,149.1,145,130,99.6,92.5,193.9,124.1,167.2,114.4,112.4,135.5,93.2,116.8,149.2,-99,136.9,200.4,118.3,141.7,122.2,197.9,194.9,176,178.7,185.5,121,183.7,163.3,134.5,144.8,97.5,142.3,148,74.4,225.6,148.4,169.1,123.9,99,114.1,89.7,128.6,70.2,67.2,175.1,41.8,107,124.5,-99,115.2,158.7,96.3,-99,121.5,144.5,119.2,71.3,79.2,60.5,146.3,64.3,123.7,123.2,128.1,132.8,117.7,75.8,127.5
2021,June,1.5,0,0,0,23.1,5,0,7.8,0,4,13.5,1.2,3.4,2.3,0.9,14.3,5.4,7.7,97.8,36.1,75.2,29.5,3.6,9.2,9,7.7,9.7,8.8,5.6,18.1,5.7,1.8,4.2,5.7,1.6,63.6,29.5,32.7,29.5,167,-99,44.8,56.7,71,60.1,-99,-99,80,12.4,27.6,16.2,0,-99,17.5,52.4,55.9,42.7,63.4,26.3,-99,68.2,56,18.1,6.5,29.6,-99,2.5,27,8.4,17.9,15.8,7.8,3,20.7,-99,77,51.7,156.3,49.8,60.2,17.3,35.7,21.6,6.4,11.3,31.2,30.8,-99,0.2,3.1,0,0.4,1,0,0,3.9,5,0,7.9,-99,0,0,0,0,31.6,0,0,0,3.2,0,0,0,1.1,0,0,0,0,0.2,0
2021,July,10.6,0,3.2,0,0,0,0,0,0,0,0.9,1.1,0,2.2,0,11,1.4,0.9,0,5.2,0.2,9.1,0,0,0.7,3,0.3,0.5,8.4,11.2,0,19.4,3.3,13.7,0.6,1,21,22.2,0,47.2,0.6,7.8,13.8,3.5,10.7,14.2,-99,15.5,14.7,6.7,0,0,5.4,5.1,15.5,51.2,8,29.3,34.1,3.1,3.6,5.4,26.1,24.9,13.9,17.7,8.2,7.5,19.2,12.8,1.2,13.2,3.5,1.7,40.2,40.2,42,63.6,41.3,88.8,29.5,29.4,21.2,18.1,17.5,25.7,23.3,6.6,0.6,3,0,6.7,0,9.9,0,4.2,0,0,0.5,2.2,0.2,0,0,0,0.1,0,0,0,0,0,0,34.8,0,0,0,0,0,0,0.1
2021,August,63.7,51.1,17.4,89.3,-99,73.9,15,0,19.3,22.9,55.7,51.4,87.3,43.3,58.1,216.9,96.2,109.8,265.5,108.8,75.9,86,133.4,50.6,77.4,51.3,61.4,108,145,166.9,80.9,131.9,36.6,91.1,74.4,129,104.6,122.8,131.8,111.4,114.7,139.8,150.9,54.5,91.2,161.2,242,201.1,98,147.1,164.3,36,102.8,31.9,48.7,54.3,59.9,119.9,81.9,6.6,51.7,151.2,68.2,83.7,93.2,78.9,125.3,58.6,123.6,116.5,63.6,107.6,68.2,65.1,66.6,218.2,123.2,99.1,102.4,184.9,154.1,130.6,181.7,125,46.8,65,100.1,64.9,5.8,8,12.6,97.5,29.8,27.4,17.7,18.4,23.6,50.1,63.9,-99,18.2,27.7,60.8,4.3,7.1,16.6,20.4,1,15.6,7.3,19.5,25.9,44.2,9.1,21.3,28.1,50.5,23.8,7.2
2021,September,91.1,33.6,72.1,-99,96.7,37.1,100.6,14.2,111.9,111.5,101.8,152.1,131.3,87.8,104.7,160.4,51.7,75.9,100.8,101.7,83,104,86.7,49.5,85.1,113.8,54.5,45,114.9,163.4,36.5,83.6,100.8,118.5,55.4,100.5,99.7,155.4,139.9,156.1,-99,139.3,167.1,54.9,179.6,185.5,130.2,148.5,130.3,96.5,132.6,56.3,-99,41.2,95.6,93.2,119.8,243.3,106.5,83.5,104.7,113.8,153.2,80.9,54.8,-99,113.1,140.7,160.7,62.3,165.9,128.6,147.6,128.1,145.7,193,119.1,171.5,145.5,149,159.7,162.1,156.5,108.5,135.7,115.2,122.7,-99,55.5,49.7,83.4,65.3,63,68.2,82.2,96.9,89.8,43.7,97.8,114.1,47,39.7,80.7,97.5,42.1,60.8,26.1,2.4,19.1,37.2,0,34.8,32.8,88.5,37.6,52.2,37.7,79.1,37.5
2021,October,56.4,49.5,62.3,143.8,97.8,135.2,101.4,213.9,127.4,-99,130.2,160,241.3,119.1,125.2,271.5,179.1,213.3,267.5,138.1,116.4,196.6,158.8,149.9,93.1,82.2,96.6,120.8,114.5,224.4,139.3,71.3,140.3,85.9,70.3,175.6,105.4,168.7,313.2,227.5,-99,129.6,115.9,122.4,146.8,114.3,321.1,174.4,74.3,124.7,128.3,118.7,-99,111.4,138.4,176.3,239,329.6,179.7,149.9,187.1,163.1,116.2,151,111.5,-99,113.4,131.2,118.9,158.2,100.3,202.2,113.3,100.1,144.5,225.9,157.1,179.3,134.9,173,259,231.1,252.2,116.4,96.7,144,133.1,-99,122.4,52.1,139.6,96.7,158.3,100.3,125,115.3,120,213.2,131.3,160.4,115.7,114.8,109.6,57.2,71.4,50.7,98.1,68.7,99.3,77.6,44.1,72.6,141.1,136.8,128,118.9,59,98.1,73.4
